PROVINCE,ED_DISTRIC
MP,Ehlanzeni
WC,West Coast
FS,Xhariep
FS,Motheo
FS,Lejweleputswa
FS,Thabo Mofutsanyana
WC,Cape Winelands
FS,Fezile Dabi
KZ,Ugu
KZ,Umgungundlovu
KZ,Uthukela
KZ,Umzinyathi
KZ,Amajuba
KZ,Vryheid
KZ,Empangeni
KZ,Ilembe
WC,Overberg
MP,Gert Sibande
MP,Nkangala
LP,Mopani
LP,Tshipise-Sagole
LP,Polokwane
LP,Waterberg
NW,Rustenburg
NW,Mafikeng
NW,Kagisano Molopo
WC,Eden and Central Karoo
GT,Sedibeng East
KZ,Sisonke
NC,John Taolo Gaetsewe
GT,Gauteng North
LP,Sekhukhune
NC,Namakwa
NC,Pixley-Ka-Seme
NC,Siyanda
NC,Frances Baard
GT,Johannesburg South
GT,Tshwane North
KZ,Obonjeni
EC,Mt Frere
EC,Butterworth
EC,Cofimvaba
EC,Cradock
EC,East London
EC,Ngcobo
EC,Mbizana
EC,Fort Beaufort
EC,Graaff-Reinet
EC,Grahamstown
EC,Dutywa
EC,King Williams Town
EC,Lady Frere
EC,Libode
EC,Mt Fletcher
EC,Queenstown
EC,Qumbu
EC,Lusikisiki
EC,Mthata
EC,Uitenhage
EC,Port Elizabeth
EC,Sterkspruit
EC,Maluti
KZ,Pinetown
KZ,Umlazi
GT,Gauteng West
NW,Potchefstroom
GT,Tshwane South
GT,Tshwane West
GT,Ekurhuleni North
GT,Ekurhuleni South
GT,Gauteng East
GT,Johannesburg West
GT,Johannesburg East
GT,Johannesburg North
GT,Johannesburg Central
GT,Sedibeng West
WC,Metro Central
WC,Metro South
WC,Metro North
WC,Metro East
LP,Vhembe
LP,Tzaneen
LP,Lebowakgomo
LP,Riba Cross
LP,Mogalakwena